[0m
[[0;33m*[0m] Function [0;33mfprintf[0m tear down of [0;33mddp[0m

  401dd0:	13200004 	beqz	t9,401de4 <_ftext@@Base+0x194>
  403c10:	afa704fc 	sw	a3,1276(sp)
  403c14:	8fb30500 	lw	s3,1280(sp)
  403c18:	3c020041 	lui	v0,0x41
  403c1c:	90424ee0 	lbu	v0,20192(v0)
  403c20:	a3a20020 	sb	v0,32(sp)
  403c24:	27a40021 	addiu	a0,sp,33
  403c28:	00002821 	move	a1,zero
  403c2c:	8f99812c 	lw	t9,-32468(gp)
  403c30:	0320f809 	jalr	t9
  403c34:	240603ff 	li	a2,1023
  403c38:	8fbc0018 	lw	gp,24(sp)
  403c3c:	8f8280d0 	lw	v0,-32560(gp)
  403c40:	8c440000 	lw	a0,0(v0)
  403c44:	24020dbb 	li	v0,3515
  403c48:	afa20010 	sw	v0,16(sp)
  403c4c:	3c050041 	lui	a1,0x41
  403c50:	24a54b90 	addiu	a1,a1,19344
  403c54:	3c060041 	lui	a2,0x41
  403c58:	24c64bac 	addiu	a2,a2,19372
  403c5c:	3c070041 	lui	a3,0x41
[31m  403c60:	8f9981c0 	lw	t9,fprintf[0m
  403c64:	0320f809 	jalr	t9
  403c68:	24e752e0 	addiu	a3,a3,21216
--
  404518:	00808021 	move	s0,a0
  40451c:	00a08821 	move	s1,a1
  404520:	00c0b021 	move	s6,a2
  404524:	90930000 	lbu	s3,0(a0)
  404528:	00139a00 	sll	s3,s3,0x8
  40452c:	90820001 	lbu	v0,1(a0)
  404530:	00539825 	or	s3,v0,s3
  404534:	90940012 	lbu	s4,18(a0)
  404538:	0014a200 	sll	s4,s4,0x8
  40453c:	90820013 	lbu	v0,19(a0)
  404540:	0054a025 	or	s4,v0,s4
  404544:	90970014 	lbu	s7,20(a0)
  404548:	0017ba00 	sll	s7,s7,0x8
  40454c:	90820015 	lbu	v0,21(a0)
  404550:	0057b825 	or	s7,v0,s7
  404554:	3c150041 	lui	s5,0x41
  404558:	26b54b90 	addiu	s5,s5,19344
  40455c:	8f8280d0 	lw	v0,-32560(gp)
  404560:	8c440000 	lw	a0,0(v0)
  404564:	2402062a 	li	v0,1578
  404568:	afa20010 	sw	v0,16(sp)
  40456c:	02a02821 	move	a1,s5
  404570:	3c060041 	lui	a2,0x41
  404574:	24c64bac 	addiu	a2,a2,19372
  404578:	3c070041 	lui	a3,0x41
[31m  40457c:	8f9981c0 	lw	t9,fprintf[0m
  404580:	0320f809 	jalr	t9
  404584:	24e753bc 	addiu	a3,a3,21436
  404588:	8fbc0018 	lw	gp,24(sp)
  40458c:	00131200 	sll	v0,s3,0x8
  404590:	3042ffff 	andi	v0,v0,0xffff
  404594:	00139a02 	srl	s3,s3,0x8
  404598:	00539825 	or	s3,v0,s3
  40459c:	3402fdfd 	li	v0,0xfdfd
  4045a0:	1262000d 	beq	s3,v0,4045d8 <fillSiteSurveyInfo@@Base+0xa08>
  4045a4:	02a02821 	move	a1,s5
  4045a8:	8f8280d0 	lw	v0,-32560(gp)
  4045ac:	8c440000 	lw	a0,0(v0)
  4045b0:	2402062e 	li	v0,1582
  4045b4:	afa20010 	sw	v0,16(sp)
  4045b8:	3c060041 	lui	a2,0x41
  4045bc:	24c64bac 	addiu	a2,a2,19372
  4045c0:	3c070041 	lui	a3,0x41
[31m  4045c4:	8f9981c0 	lw	t9,fprintf[0m
  4045c8:	0320f809 	jalr	t9
  4045cc:	24e753bc 	addiu	a3,a3,21436
  4045d0:	1000008a 	b	4047fc <fillSiteSurveyInfo@@Base+0xc2c>
  4045d4:	2402ffff 	li	v0,-1
  4045d8:	00141200 	sll	v0,s4,0x8
  4045dc:	3042ffff 	andi	v0,v0,0xffff
  4045e0:	0014a202 	srl	s4,s4,0x8
  4045e4:	0054a025 	or	s4,v0,s4
  4045e8:	24020002 	li	v0,2
  4045ec:	1282000e 	beq	s4,v0,404628 <fillSiteSurveyInfo@@Base+0xa58>
  4045f0:	26040006 	addiu	a0,s0,6
  4045f4:	8f8280d0 	lw	v0,-32560(gp)
  4045f8:	8c440000 	lw	a0,0(v0)
  4045fc:	24020634 	li	v0,1588
  404600:	afa20010 	sw	v0,16(sp)
  404604:	02a02821 	move	a1,s5
  404608:	3c060041 	lui	a2,0x41
  40460c:	24c64bac 	addiu	a2,a2,19372
  404610:	3c070041 	lui	a3,0x41
[31m  404614:	8f9981c0 	lw	t9,fprintf[0m
  404618:	0320f809 	jalr	t9
  40461c:	24e753bc 	addiu	a3,a3,21436
  404620:	10000076 	b	4047fc <fillSiteSurveyInfo@@Base+0xc2c>
  404624:	2402ffff 	li	v0,-1
  404628:	24050006 	li	a1,6
  40462c:	8f8681ec 	lw	a2,-32276(gp)
  404630:	8f99828c 	lw	t9,-32116(gp)
  404634:	0320f809 	jalr	t9
  404638:	24070006 	li	a3,6
  40463c:	8fbc0018 	lw	gp,24(sp)
  404640:	1040000e 	beqz	v0,40467c <fillSiteSurveyInfo@@Base+0xaac>
  404644:	2ad60098 	slti	s6,s6,152
  404648:	8f8280d0 	lw	v0,-32560(gp)
  40464c:	8c440000 	lw	a0,0(v0)
  404650:	24020642 	li	v0,1602
  404654:	afa20010 	sw	v0,16(sp)
  404658:	02a02821 	move	a1,s5
  40465c:	3c060041 	lui	a2,0x41
  404660:	24c64bac 	addiu	a2,a2,19372
  404664:	3c070041 	lui	a3,0x41
[31m  404668:	8f9981c0 	lw	t9,fprintf[0m
  40466c:	0320f809 	jalr	t9
  404670:	24e753bc 	addiu	a3,a3,21436
--
  40485c:	00808021 	move	s0,a0
  404860:	00a08821 	move	s1,a1
  404864:	00c0b021 	move	s6,a2
  404868:	90930000 	lbu	s3,0(a0)
  40486c:	00139a00 	sll	s3,s3,0x8
  404870:	90820001 	lbu	v0,1(a0)
  404874:	00539825 	or	s3,v0,s3
  404878:	90940012 	lbu	s4,18(a0)
  40487c:	0014a200 	sll	s4,s4,0x8
  404880:	90820013 	lbu	v0,19(a0)
  404884:	0054a025 	or	s4,v0,s4
  404888:	90970014 	lbu	s7,20(a0)
  40488c:	0017ba00 	sll	s7,s7,0x8
  404890:	90820015 	lbu	v0,21(a0)
  404894:	0057b825 	or	s7,v0,s7
  404898:	3c150041 	lui	s5,0x41
  40489c:	26b54b90 	addiu	s5,s5,19344
  4048a0:	8f8280d0 	lw	v0,-32560(gp)
  4048a4:	8c440000 	lw	a0,0(v0)
  4048a8:	24020586 	li	v0,1414
  4048ac:	afa20010 	sw	v0,16(sp)
  4048b0:	02a02821 	move	a1,s5
  4048b4:	3c060041 	lui	a2,0x41
  4048b8:	24c64bac 	addiu	a2,a2,19372
  4048bc:	3c070041 	lui	a3,0x41
[31m  4048c0:	8f9981c0 	lw	t9,fprintf[0m
  4048c4:	0320f809 	jalr	t9
  4048c8:	24e753cc 	addiu	a3,a3,21452
  4048cc:	8fbc0018 	lw	gp,24(sp)
  4048d0:	00131200 	sll	v0,s3,0x8
  4048d4:	3042ffff 	andi	v0,v0,0xffff
  4048d8:	00139a02 	srl	s3,s3,0x8
  4048dc:	00539825 	or	s3,v0,s3
  4048e0:	3402fdfd 	li	v0,0xfdfd
  4048e4:	1262000d 	beq	s3,v0,40491c <fillSiteSurveyInfo@@Base+0xd4c>
  4048e8:	02a02821 	move	a1,s5
  4048ec:	8f8280d0 	lw	v0,-32560(gp)
  4048f0:	8c440000 	lw	a0,0(v0)
  4048f4:	2402058a 	li	v0,1418
  4048f8:	afa20010 	sw	v0,16(sp)
  4048fc:	3c060041 	lui	a2,0x41
  404900:	24c64bac 	addiu	a2,a2,19372
  404904:	3c070041 	lui	a3,0x41
[31m  404908:	8f9981c0 	lw	t9,fprintf[0m
  40490c:	0320f809 	jalr	t9
  404910:	24e753cc 	addiu	a3,a3,21452
  404914:	1000008a 	b	404b40 <fillSiteSurveyInfo@@Base+0xf70>
  404918:	2402ffff 	li	v0,-1
  40491c:	00141200 	sll	v0,s4,0x8
  404920:	3042ffff 	andi	v0,v0,0xffff
  404924:	0014a202 	srl	s4,s4,0x8
  404928:	0054a025 	or	s4,v0,s4
  40492c:	24020002 	li	v0,2
  404930:	1282000e 	beq	s4,v0,40496c <fillSiteSurveyInfo@@Base+0xd9c>
  404934:	26040006 	addiu	a0,s0,6
  404938:	8f8280d0 	lw	v0,-32560(gp)
  40493c:	8c440000 	lw	a0,0(v0)
  404940:	24020590 	li	v0,1424
  404944:	afa20010 	sw	v0,16(sp)
  404948:	02a02821 	move	a1,s5
  40494c:	3c060041 	lui	a2,0x41
  404950:	24c64bac 	addiu	a2,a2,19372
  404954:	3c070041 	lui	a3,0x41
[31m  404958:	8f9981c0 	lw	t9,fprintf[0m
  40495c:	0320f809 	jalr	t9
  404960:	24e753cc 	addiu	a3,a3,21452
  404964:	10000076 	b	404b40 <fillSiteSurveyInfo@@Base+0xf70>
  404968:	2402ffff 	li	v0,-1
  40496c:	24050006 	li	a1,6
  404970:	8f8681ec 	lw	a2,-32276(gp)
  404974:	8f99828c 	lw	t9,-32116(gp)
  404978:	0320f809 	jalr	t9
  40497c:	24070006 	li	a3,6
  404980:	8fbc0018 	lw	gp,24(sp)
  404984:	1040000e 	beqz	v0,4049c0 <fillSiteSurveyInfo@@Base+0xdf0>
  404988:	2ad60098 	slti	s6,s6,152
  40498c:	8f8280d0 	lw	v0,-32560(gp)
  404990:	8c440000 	lw	a0,0(v0)
  404994:	2402059e 	li	v0,1438
  404998:	afa20010 	sw	v0,16(sp)
  40499c:	02a02821 	move	a1,s5
  4049a0:	3c060041 	lui	a2,0x41
  4049a4:	24c64bac 	addiu	a2,a2,19372
  4049a8:	3c070041 	lui	a3,0x41
[31m  4049ac:	8f9981c0 	lw	t9,fprintf[0m
  4049b0:	0320f809 	jalr	t9
  4049b4:	24e753cc 	addiu	a3,a3,21452
--
  404b88:	afb0002c 	sw	s0,44(sp)
  404b8c:	3c1c0043 	lui	gp,0x43
  404b90:	279ce140 	addiu	gp,gp,-7872
  404b94:	afbc0018 	sw	gp,24(sp)
  404b98:	00a08821 	move	s1,a1
  404b9c:	00c0a821 	move	s5,a2
  404ba0:	00808021 	move	s0,a0
  404ba4:	90920000 	lbu	s2,0(a0)
  404ba8:	00129200 	sll	s2,s2,0x8
  404bac:	90820001 	lbu	v0,1(a0)
  404bb0:	00529025 	or	s2,v0,s2
  404bb4:	90930012 	lbu	s3,18(a0)
  404bb8:	00139a00 	sll	s3,s3,0x8
  404bbc:	90820013 	lbu	v0,19(a0)
  404bc0:	00539825 	or	s3,v0,s3
  404bc4:	3c140041 	lui	s4,0x41
  404bc8:	26944b90 	addiu	s4,s4,19344
  404bcc:	8f8280d0 	lw	v0,-32560(gp)
  404bd0:	8c440000 	lw	a0,0(v0)
  404bd4:	24020532 	li	v0,1330
  404bd8:	afa20010 	sw	v0,16(sp)
  404bdc:	02802821 	move	a1,s4
  404be0:	3c060041 	lui	a2,0x41
  404be4:	24c64bac 	addiu	a2,a2,19372
  404be8:	3c070041 	lui	a3,0x41
[31m  404bec:	8f9981c0 	lw	t9,fprintf[0m
  404bf0:	0320f809 	jalr	t9
  404bf4:	24e753e0 	addiu	a3,a3,21472
  404bf8:	8fbc0018 	lw	gp,24(sp)
  404bfc:	00121200 	sll	v0,s2,0x8
  404c00:	3042ffff 	andi	v0,v0,0xffff
  404c04:	00129202 	srl	s2,s2,0x8
  404c08:	00529025 	or	s2,v0,s2
  404c0c:	3402fdfd 	li	v0,0xfdfd
  404c10:	1242000d 	beq	s2,v0,404c48 <alert_info@@Base+0xdc>
  404c14:	02802821 	move	a1,s4
  404c18:	8f8280d0 	lw	v0,-32560(gp)
  404c1c:	8c440000 	lw	a0,0(v0)
  404c20:	24020536 	li	v0,1334
  404c24:	afa20010 	sw	v0,16(sp)
  404c28:	3c060041 	lui	a2,0x41
  404c2c:	24c64bac 	addiu	a2,a2,19372
  404c30:	3c070041 	lui	a3,0x41
[31m  404c34:	8f9981c0 	lw	t9,fprintf[0m
  404c38:	0320f809 	jalr	t9
  404c3c:	24e753e0 	addiu	a3,a3,21472
  404c40:	1000005b 	b	404db0 <alert_info@@Base+0x244>
  404c44:	2402ffff 	li	v0,-1
  404c48:	00131200 	sll	v0,s3,0x8
  404c4c:	3042ffff 	andi	v0,v0,0xffff
  404c50:	00139a02 	srl	s3,s3,0x8
  404c54:	00539825 	or	s3,v0,s3
  404c58:	24020002 	li	v0,2
  404c5c:	1262000e 	beq	s3,v0,404c98 <alert_info@@Base+0x12c>
  404c60:	26040006 	addiu	a0,s0,6
  404c64:	8f8280d0 	lw	v0,-32560(gp)
  404c68:	8c440000 	lw	a0,0(v0)
  404c6c:	2402053c 	li	v0,1340
  404c70:	afa20010 	sw	v0,16(sp)
  404c74:	02802821 	move	a1,s4
  404c78:	3c060041 	lui	a2,0x41
  404c7c:	24c64bac 	addiu	a2,a2,19372
  404c80:	3c070041 	lui	a3,0x41
[31m  404c84:	8f9981c0 	lw	t9,fprintf[0m
  404c88:	0320f809 	jalr	t9
  404c8c:	24e753e0 	addiu	a3,a3,21472
  404c90:	10000047 	b	404db0 <alert_info@@Base+0x244>
  404c94:	2402ffff 	li	v0,-1
  404c98:	24050006 	li	a1,6
  404c9c:	8f8681ec 	lw	a2,-32276(gp)
  404ca0:	8f99828c 	lw	t9,-32116(gp)
  404ca4:	0320f809 	jalr	t9
  404ca8:	24070006 	li	a3,6
  404cac:	8fbc0018 	lw	gp,24(sp)
  404cb0:	1040000e 	beqz	v0,404cec <alert_info@@Base+0x180>
  404cb4:	2ab50096 	slti	s5,s5,150
  404cb8:	8f8280d0 	lw	v0,-32560(gp)
  404cbc:	8c440000 	lw	a0,0(v0)
  404cc0:	2402054a 	li	v0,1354
  404cc4:	afa20010 	sw	v0,16(sp)
  404cc8:	02802821 	move	a1,s4
  404ccc:	3c060041 	lui	a2,0x41
  404cd0:	24c64bac 	addiu	a2,a2,19372
  404cd4:	3c070041 	lui	a3,0x41
[31m  404cd8:	8f9981c0 	lw	t9,fprintf[0m
  404cdc:	0320f809 	jalr	t9
  404ce0:	24e753e0 	addiu	a3,a3,21472
--
  404e00:	279ce140 	addiu	gp,gp,-7872
  404e04:	afbc0018 	sw	gp,24(sp)
  404e08:	00808021 	move	s0,a0
  404e0c:	00a0b821 	move	s7,a1
  404e10:	00c0b021 	move	s6,a2
  404e14:	10e00096 	beqz	a3,405070 <checkSiteSurveyRequest@@Base+0x29c>
  404e18:	00e0a021 	move	s4,a3
  404e1c:	90920000 	lbu	s2,0(a0)
  404e20:	00129200 	sll	s2,s2,0x8
  404e24:	90820001 	lbu	v0,1(a0)
  404e28:	00529025 	or	s2,v0,s2
  404e2c:	90930012 	lbu	s3,18(a0)
  404e30:	00139a00 	sll	s3,s3,0x8
  404e34:	90820013 	lbu	v0,19(a0)
  404e38:	00539825 	or	s3,v0,s3
  404e3c:	3c150041 	lui	s5,0x41
  404e40:	26b54b90 	addiu	s5,s5,19344
  404e44:	8f8280d0 	lw	v0,-32560(gp)
  404e48:	8c440000 	lw	a0,0(v0)
  404e4c:	24020d57 	li	v0,3415
  404e50:	afa20010 	sw	v0,16(sp)
  404e54:	02a02821 	move	a1,s5
  404e58:	3c060041 	lui	a2,0x41
  404e5c:	24c64bac 	addiu	a2,a2,19372
  404e60:	3c070041 	lui	a3,0x41
[31m  404e64:	8f9981c0 	lw	t9,fprintf[0m
  404e68:	0320f809 	jalr	t9
  404e6c:	24e752f4 	addiu	a3,a3,21236
  404e70:	8fbc0018 	lw	gp,24(sp)
  404e74:	00121200 	sll	v0,s2,0x8
  404e78:	3042ffff 	andi	v0,v0,0xffff
  404e7c:	00129202 	srl	s2,s2,0x8
  404e80:	00529025 	or	s2,v0,s2
  404e84:	3402fdfd 	li	v0,0xfdfd
  404e88:	1242000d 	beq	s2,v0,404ec0 <checkSiteSurveyRequest@@Base+0xec>
  404e8c:	02a02821 	move	a1,s5
  404e90:	8f8280d0 	lw	v0,-32560(gp)
  404e94:	8c440000 	lw	a0,0(v0)
  404e98:	24020d5b 	li	v0,3419
  404e9c:	afa20010 	sw	v0,16(sp)
  404ea0:	3c060041 	lui	a2,0x41
  404ea4:	24c64bac 	addiu	a2,a2,19372
  404ea8:	3c070041 	lui	a3,0x41
[31m  404eac:	8f9981c0 	lw	t9,fprintf[0m
  404eb0:	0320f809 	jalr	t9
  404eb4:	24e752f4 	addiu	a3,a3,21236
  404eb8:	1000006e 	b	405074 <checkSiteSurveyRequest@@Base+0x2a0>
  404ebc:	2402ffff 	li	v0,-1
  404ec0:	00131200 	sll	v0,s3,0x8
  404ec4:	3042ffff 	andi	v0,v0,0xffff
  404ec8:	00139a02 	srl	s3,s3,0x8
  404ecc:	00539825 	or	s3,v0,s3
  404ed0:	24020002 	li	v0,2
  404ed4:	1262000e 	beq	s3,v0,404f10 <checkSiteSurveyRequest@@Base+0x13c>
  404ed8:	26040006 	addiu	a0,s0,6
  404edc:	8f8280d0 	lw	v0,-32560(gp)
  404ee0:	8c440000 	lw	a0,0(v0)
  404ee4:	24020d61 	li	v0,3425
  404ee8:	afa20010 	sw	v0,16(sp)
  404eec:	02a02821 	move	a1,s5
  404ef0:	3c060041 	lui	a2,0x41
  404ef4:	24c64bac 	addiu	a2,a2,19372
  404ef8:	3c070041 	lui	a3,0x41
[31m  404efc:	8f9981c0 	lw	t9,fprintf[0m
  404f00:	0320f809 	jalr	t9
  404f04:	24e752f4 	addiu	a3,a3,21236
  404f08:	1000005a 	b	405074 <checkSiteSurveyRequest@@Base+0x2a0>
  404f0c:	2402ffff 	li	v0,-1
  404f10:	24050006 	li	a1,6
  404f14:	8f8681ec 	lw	a2,-32276(gp)
  404f18:	8f99828c 	lw	t9,-32116(gp)
  404f1c:	0320f809 	jalr	t9
  404f20:	24070006 	li	a3,6
  404f24:	8fbc0018 	lw	gp,24(sp)
  404f28:	1040000e 	beqz	v0,404f64 <checkSiteSurveyRequest@@Base+0x190>
  404f2c:	2ad602ea 	slti	s6,s6,746
  404f30:	8f8280d0 	lw	v0,-32560(gp)
  404f34:	8c440000 	lw	a0,0(v0)
  404f38:	24020d6f 	li	v0,3439
  404f3c:	afa20010 	sw	v0,16(sp)
  404f40:	02a02821 	move	a1,s5
  404f44:	3c060041 	lui	a2,0x41
  404f48:	24c64bac 	addiu	a2,a2,19372
  404f4c:	3c070041 	lui	a3,0x41
[31m  404f50:	8f9981c0 	lw	t9,fprintf[0m
  404f54:	0320f809 	jalr	t9
  404f58:	24e752f4 	addiu	a3,a3,21236
--
  4050c0:	afb00028 	sw	s0,40(sp)
  4050c4:	3c1c0043 	lui	gp,0x43
  4050c8:	279ce140 	addiu	gp,gp,-7872
  4050cc:	afbc0018 	sw	gp,24(sp)
  4050d0:	00808021 	move	s0,a0
  4050d4:	00a0b021 	move	s6,a1
  4050d8:	00c0a821 	move	s5,a2
  4050dc:	90920000 	lbu	s2,0(a0)
  4050e0:	00129200 	sll	s2,s2,0x8
  4050e4:	90820001 	lbu	v0,1(a0)
  4050e8:	00529025 	or	s2,v0,s2
  4050ec:	90930012 	lbu	s3,18(a0)
  4050f0:	00139a00 	sll	s3,s3,0x8
  4050f4:	90820013 	lbu	v0,19(a0)
  4050f8:	00539825 	or	s3,v0,s3
  4050fc:	3c140041 	lui	s4,0x41
  405100:	26944b90 	addiu	s4,s4,19344
  405104:	8f8280d0 	lw	v0,-32560(gp)
  405108:	8c440000 	lw	a0,0(v0)
  40510c:	24020cff 	li	v0,3327
  405110:	afa20010 	sw	v0,16(sp)
  405114:	02802821 	move	a1,s4
  405118:	3c060041 	lui	a2,0x41
  40511c:	24c64bac 	addiu	a2,a2,19372
  405120:	3c070041 	lui	a3,0x41
[31m  405124:	8f9981c0 	lw	t9,fprintf[0m
  405128:	0320f809 	jalr	t9
  40512c:	24e7530c 	addiu	a3,a3,21260
  405130:	8fbc0018 	lw	gp,24(sp)
  405134:	00121200 	sll	v0,s2,0x8
  405138:	3042ffff 	andi	v0,v0,0xffff
  40513c:	00129202 	srl	s2,s2,0x8
  405140:	00529025 	or	s2,v0,s2
  405144:	3402fdfd 	li	v0,0xfdfd
  405148:	1242000d 	beq	s2,v0,405180 <commit_setting@@Base+0xe0>
  40514c:	02802821 	move	a1,s4
  405150:	8f8280d0 	lw	v0,-32560(gp)
  405154:	8c440000 	lw	a0,0(v0)
  405158:	24020d03 	li	v0,3331
  40515c:	afa20010 	sw	v0,16(sp)
  405160:	3c060041 	lui	a2,0x41
  405164:	24c64bac 	addiu	a2,a2,19372
  405168:	3c070041 	lui	a3,0x41
[31m  40516c:	8f9981c0 	lw	t9,fprintf[0m
  405170:	0320f809 	jalr	t9
  405174:	24e7530c 	addiu	a3,a3,21260
  405178:	1000006b 	b	405328 <commit_setting@@Base+0x288>
  40517c:	2402ffff 	li	v0,-1
  405180:	00131200 	sll	v0,s3,0x8
  405184:	3042ffff 	andi	v0,v0,0xffff
  405188:	00139a02 	srl	s3,s3,0x8
  40518c:	00539825 	or	s3,v0,s3
  405190:	24020002 	li	v0,2
  405194:	1262000e 	beq	s3,v0,4051d0 <commit_setting@@Base+0x130>
  405198:	26040006 	addiu	a0,s0,6
  40519c:	8f8280d0 	lw	v0,-32560(gp)
  4051a0:	8c440000 	lw	a0,0(v0)
  4051a4:	24020d09 	li	v0,3337
  4051a8:	afa20010 	sw	v0,16(sp)
  4051ac:	02802821 	move	a1,s4
  4051b0:	3c060041 	lui	a2,0x41
  4051b4:	24c64bac 	addiu	a2,a2,19372
  4051b8:	3c070041 	lui	a3,0x41
[31m  4051bc:	8f9981c0 	lw	t9,fprintf[0m
  4051c0:	0320f809 	jalr	t9
  4051c4:	24e7530c 	addiu	a3,a3,21260
  4051c8:	10000057 	b	405328 <commit_setting@@Base+0x288>
  4051cc:	2402ffff 	li	v0,-1
  4051d0:	24050006 	li	a1,6
  4051d4:	8f8681ec 	lw	a2,-32276(gp)
  4051d8:	8f99828c 	lw	t9,-32116(gp)
  4051dc:	0320f809 	jalr	t9
  4051e0:	24070006 	li	a3,6
  4051e4:	8fbc0018 	lw	gp,24(sp)
  4051e8:	1040000e 	beqz	v0,405224 <commit_setting@@Base+0x184>
  4051ec:	2ab50026 	slti	s5,s5,38
  4051f0:	8f8280d0 	lw	v0,-32560(gp)
  4051f4:	8c440000 	lw	a0,0(v0)
  4051f8:	24020d17 	li	v0,3351
  4051fc:	afa20010 	sw	v0,16(sp)
  405200:	02802821 	move	a1,s4
  405204:	3c060041 	lui	a2,0x41
  405208:	24c64bac 	addiu	a2,a2,19372
  40520c:	3c070041 	lui	a3,0x41
[31m  405210:	8f9981c0 	lw	t9,fprintf[0m
  405214:	0320f809 	jalr	t9
  405218:	24e7530c 	addiu	a3,a3,21260
--
  405370:	afb00028 	sw	s0,40(sp)
  405374:	3c1c0043 	lui	gp,0x43
  405378:	279ce140 	addiu	gp,gp,-7872
  40537c:	afbc0018 	sw	gp,24(sp)
  405380:	00808021 	move	s0,a0
  405384:	00a08821 	move	s1,a1
  405388:	00c0b021 	move	s6,a2
  40538c:	90930000 	lbu	s3,0(a0)
  405390:	00139a00 	sll	s3,s3,0x8
  405394:	90820001 	lbu	v0,1(a0)
  405398:	00539825 	or	s3,v0,s3
  40539c:	90940012 	lbu	s4,18(a0)
  4053a0:	0014a200 	sll	s4,s4,0x8
  4053a4:	90820013 	lbu	v0,19(a0)
  4053a8:	0054a025 	or	s4,v0,s4
  4053ac:	3c150041 	lui	s5,0x41
  4053b0:	26b54b90 	addiu	s5,s5,19344
  4053b4:	8f8280d0 	lw	v0,-32560(gp)
  4053b8:	8c440000 	lw	a0,0(v0)
  4053bc:	24020c9e 	li	v0,3230
  4053c0:	afa20010 	sw	v0,16(sp)
  4053c4:	02a02821 	move	a1,s5
  4053c8:	3c060041 	lui	a2,0x41
  4053cc:	24c64bac 	addiu	a2,a2,19372
  4053d0:	3c070041 	lui	a3,0x41
[31m  4053d4:	8f9981c0 	lw	t9,fprintf[0m
  4053d8:	0320f809 	jalr	t9
  4053dc:	24e7531c 	addiu	a3,a3,21276
  4053e0:	8fbc0018 	lw	gp,24(sp)
  4053e4:	00131200 	sll	v0,s3,0x8
  4053e8:	3042ffff 	andi	v0,v0,0xffff
  4053ec:	00139a02 	srl	s3,s3,0x8
  4053f0:	00539825 	or	s3,v0,s3
  4053f4:	3402fdfd 	li	v0,0xfdfd
  4053f8:	1262000d 	beq	s3,v0,405430 <init_wifi_site_survey@@Base+0xe0>
  4053fc:	02a02821 	move	a1,s5
  405400:	8f8280d0 	lw	v0,-32560(gp)
  405404:	8c440000 	lw	a0,0(v0)
  405408:	24020ca2 	li	v0,3234
  40540c:	afa20010 	sw	v0,16(sp)
  405410:	3c060041 	lui	a2,0x41
  405414:	24c64bac 	addiu	a2,a2,19372
  405418:	3c070041 	lui	a3,0x41
[31m  40541c:	8f9981c0 	lw	t9,fprintf[0m
  405420:	0320f809 	jalr	t9
  405424:	24e7531c 	addiu	a3,a3,21276
  405428:	10000072 	b	4055f4 <init_wifi_site_survey@@Base+0x2a4>
  40542c:	2402ffff 	li	v0,-1
  405430:	00141200 	sll	v0,s4,0x8
  405434:	3042ffff 	andi	v0,v0,0xffff
  405438:	0014a202 	srl	s4,s4,0x8
  40543c:	0054a025 	or	s4,v0,s4
  405440:	24020002 	li	v0,2
  405444:	1282000e 	beq	s4,v0,405480 <init_wifi_site_survey@@Base+0x130>
  405448:	26040006 	addiu	a0,s0,6
  40544c:	8f8280d0 	lw	v0,-32560(gp)
  405450:	8c440000 	lw	a0,0(v0)
  405454:	24020ca8 	li	v0,3240
  405458:	afa20010 	sw	v0,16(sp)
  40545c:	02a02821 	move	a1,s5
  405460:	3c060041 	lui	a2,0x41
  405464:	24c64bac 	addiu	a2,a2,19372
  405468:	3c070041 	lui	a3,0x41
[31m  40546c:	8f9981c0 	lw	t9,fprintf[0m
  405470:	0320f809 	jalr	t9
  405474:	24e7531c 	addiu	a3,a3,21276
  405478:	1000005e 	b	4055f4 <init_wifi_site_survey@@Base+0x2a4>
  40547c:	2402ffff 	li	v0,-1
  405480:	24050006 	li	a1,6
  405484:	8f8681ec 	lw	a2,-32276(gp)
  405488:	8f99828c 	lw	t9,-32116(gp)
  40548c:	0320f809 	jalr	t9
  405490:	24070006 	li	a3,6
  405494:	8fbc0018 	lw	gp,24(sp)
  405498:	1040000e 	beqz	v0,4054d4 <init_wifi_site_survey@@Base+0x184>
  40549c:	2ad60026 	slti	s6,s6,38
  4054a0:	8f8280d0 	lw	v0,-32560(gp)
  4054a4:	8c440000 	lw	a0,0(v0)
  4054a8:	24020cb6 	li	v0,3254
  4054ac:	afa20010 	sw	v0,16(sp)
  4054b0:	02a02821 	move	a1,s5
  4054b4:	3c060041 	lui	a2,0x41
  4054b8:	24c64bac 	addiu	a2,a2,19372
  4054bc:	3c070041 	lui	a3,0x41
[31m  4054c0:	8f9981c0 	lw	t9,fprintf[0m
  4054c4:	0320f809 	jalr	t9
  4054c8:	24e7531c 	addiu	a3,a3,21276
--
  40564c:	00a08821 	move	s1,a1
  405650:	00c0b021 	move	s6,a2
  405654:	00808021 	move	s0,a0
  405658:	90920000 	lbu	s2,0(a0)
  40565c:	00129200 	sll	s2,s2,0x8
  405660:	90820001 	lbu	v0,1(a0)
  405664:	00529025 	or	s2,v0,s2
  405668:	90940010 	lbu	s4,16(a0)
  40566c:	0014a200 	sll	s4,s4,0x8
  405670:	90820011 	lbu	v0,17(a0)
  405674:	0054a025 	or	s4,v0,s4
  405678:	90930012 	lbu	s3,18(a0)
  40567c:	00139a00 	sll	s3,s3,0x8
  405680:	90820013 	lbu	v0,19(a0)
  405684:	00539825 	or	s3,v0,s3
  405688:	3c150041 	lui	s5,0x41
  40568c:	26b54b90 	addiu	s5,s5,19344
